时间,标题,描述,链接,转发内容,发布人,attitude,images,reposts_count,comments_count,sort,industry,related_words,site_name,area
2021/3/18 23:57,//@正义援助66866: 控告 关注@正义援助66866 置顶，请正义之士帮助讨回百世快递-大连开发区七部恶意拖欠艰难抚养两个弱小女儿的单亲妈妈8个月8万多活命钱！@正义网 @中国妇女报 @物流时代杂志 @百世快运@快递杂志@百世快递 @中国邮政快递报 @大连晚报 @新闻大连 @百世官微 @国家邮政局 @快递杂志,,http://weibo.com/6119144976/K6OIx3iqd,@正义援助66866 控告！百世快递-百世快递开发区七部-大连世强物流有限公司恶意拖欠艰难抚养两个女儿（一个上幼儿园，一个上小学）的单亲妈妈养家糊口的8个月8万多“活命钱”！残忍至极！现孤儿寡母“乞讨”无法生活了，请有关部门立即查处，请正义之士帮助讨回公道！ @百世快递 @中国邮政快递报 @大连晚报 @新闻大连 @百世官微 @凤凰网 @国家邮政局 @快递杂志 http://t.cn/RJyjtcN,腐底揪心,敏感,http://wx4.sinaimg.cn/thumbnail/008fhkM3ly1gnce0lzl4gj30u08kw7wj.jpg,1,0,转发,政务,百世快运,新浪微博,广东
2021/3/18 23:55,"（2020）粤0306财保1207号其他公告 （[真量技术有限公司, 深圳优速物流信息科技有限公司]）","（2020）粤0306财保1207号其他公告 （[真量技术有限公司, 深圳优速物流信息科技有限公司]） （2020）粤0306财保1207号其他公告 （[真量技术有限公司, 深圳优速物流信息科技有限公司]）",https://www.bafy.gov.cn/web/content?gid=69324&lmdm=1008,,,敏感,,,,,政务,优速,深圳市宝安区人民法院,广东
2021/3/18 23:53,无锡到鸡西物流公司——【恒诺货物运输】,这些看不见、摸不着的隐性知识是物流信息化利用信息技术无法收集的。（4）即时物流类：。热门行业及主流玩家包括：（1）物流快递类：顺丰、申通、、韵达、汇通、中通、天天快递、优速快递等；（2）电商物流类：苏宁物流、菜鸟、物流等；（3）跨境物流类：、海带宝、转运四方、风行全球送、快鸟转运、天马迅达快递等；（4）即时物流类：。,http://house.hainan.net/inews/401282-810236786.shtml,,,非敏感,,,,,房产,优速,海南在线,海南
2021/3/18 23:50,什么靠谱呢？,,https://www.toutiao.com/i1694558648136716/,破衣乞丐：这两天在58同城上找工作，看见一知名物流企业（安能物流）招聘搬运工的招聘信息；便投了简历，招聘人员一再热情邀约过去面谈；今天应邀前往几十公里外该公司的物流分拣中心进行面谈了解相关具体待遇； 骑了两个多小时的车到达后，该名联系人提示我先（里面立的一张招聘广告）扫码，然后要求我先在手机上填,,非敏感,,,,评论,,安能物流,今日头条,
2021/3/18 23:50,大理石莲花花盆,例如高2米以下的不锈钢花盆景观雕塑，不含税的价格为2万左右。接下来就是正式开始不锈钢花盆景观雕塑的雕刻流程。完工时间一般为一个月左右。为了确保不锈钢花盆景观雕塑完整到达客户那里，经常使用有包装。不锈钢花盆景观雕塑是不锈钢雕塑的一类我们推荐您选用安能物流进行运输。2米以下的不锈钢花盆景观雕塑比较小，只需要按照我厂给的安装文档，自己就可以安装。,http://www.nntv.cn/inews/YTkbNjU-44-28446093.shtml,,,非敏感,,,,,其他,安能物流,老友网,广西
2021/3/18 23:49,不锈钢抽象镂空剪纸雕塑,例如高5米的不锈钢剪纸雕塑，价格是10000左右。接下来就是正式开始不锈钢剪纸雕塑的雕刻流程。工期基本要20天左右。不锈钢剪纸雕塑加工好后，从安全角度着想，我们通常采用需要定制进行包装。综合价格和安全我厂使用安能物流。5米的不锈钢剪纸雕塑比较容易安装，只需要根据我们给的安装视频，可以自己安装。不锈钢剪纸雕塑由于造型好看，所以受到顾客喜欢。不锈钢剪纸雕塑属于不锈钢雕塑的一种。,http://www.nntv.cn/inews/1/2453641.html,,,非敏感,,,,,其他,安能物流,老友网,广西
2021/3/18 23:48,铜雕音乐家安庆哪能订制,然后就是正式开始音乐人物铜雕塑的制作。制作时间一般为一周左右。雕塑加工好后，我公司在发货前，采用有半成品包装，保证音乐人物铜雕塑安全运到您的手中。音乐人物铜雕塑属于铜雕的一种综合价格和安全我公司安能物流。2米的音乐人物铜雕塑比较容易安装，只需要依照我厂给的安装视频，可以自己安装。,http://www.nntv.cn/inews/MmMzODU/1/2453640.shtml,,,非敏感,,,,,其他,安能物流,老友网,广西
2021/3/18 23:48,大型不锈钢飞机雕塑报价表,会按照终图纸给出合理的报价。例如高2米以下的不锈钢金属飞机雕塑，价格是5万左右。遵照确定好的图纸，首先选购少杂质的石材。为了确保不锈钢金属飞机雕塑的安全，一般会用有包装。综合价格和安全我们推荐使用安能物流。2米以下的不锈钢金属飞机雕塑非常好安装只需要遵照我们提供的安装视频，可以自己安装。 从中雅雕塑雕塑销售中心成立之初，就立志成为不锈钢雕塑行业的引领者。,http://www.nntv.cn/inews/MmMzODU/1/2453639.shtml,,,非敏感,,,,,其他,安能物流,老友网,广西
2021/3/18 23:37,荷叶荷花室外落地摆件,灵鑫雕塑会按照终图纸计算出合适的价格。例如高6米的荷花，价格大概为10000左右。紧接着就是正式开始荷花的制作。工期差不多要一周左右。雕塑生产完工后，我厂在发货前，采用需要定制包装，确保荷花安全运到您的手中。荷花是一种常见的雕塑综合价格和安全灵鑫雕塑使用安能物流。6米的荷花不容易安装，安装时吊车及费用，由雇主承担。安装费也是甲方负责。 因为专注，所以专业；因为专业，所以完美。,http://www.nntv.cn/inews/cgeedac-44-28445134.html,,,非敏感,,,,,其他,安能物流,老友网,广西
2021/3/18 23:34,广场不锈钢抽象人物景观雕塑销售价格,推荐您选用安能物流进行运输。8米的抽象人物不锈钢雕塑由专业人员安装，安装时吊车及费用，由客户负责。安装费也是甲方负责。 广场不锈钢抽象人物景观雕塑销售价格 抽象人物不锈钢雕塑由于比较好看，因此受到人们喜欢。抽象人物不锈钢雕塑属于不锈钢雕塑的一种。在承接抽象人物不锈钢雕塑之前，先明确终设计图。当客户想进一步深化设计图，会可以免费推荐设计公司。厂会根据终图纸给出报价。例如高3米的抽象人物不锈钢,http://www.nntv.cn/inews/acbdbgc-1-2453553.html,,,非敏感,,,,,其他,安能物流,老友网,广西
2021/3/18 23:34,公园镜面海豚雕塑平均价格,接下来就是正式开始海豚的制作。加工时间基本要半个月左右。为了确保海豚的整体安全，灵鑫雕塑一般使用有半成品包装。我们推荐您选用安能物流进行运输。2米以下的海豚比较容易安装，只需要根据我公司给的安装视频。海豚由于造型好看自己就可以安装。,http://www.nntv.cn/inews/c644d-1154428445008.html,,,非敏感,,,,,其他,安能物流,老友网,广西
2021/3/18 23:34,上海不锈钢烤漆建文化雕塑信息推荐,综合价格和安全我们推荐使用安能物流。6米的不锈钢建雕塑非常好安装只需要依照我厂给的安装视频，可以自己安装。 恒枫源雕塑厂家是集规划、设计、销售、制作、安装于一体的大型中外合资雕塑企业，专注于不锈钢雕塑、室内雕塑等景观艺术产品。具有城市雕塑创作设计资质，自营出口权。雕塑主要出口、中东等市场。,http://www.nntv.cn/inews/bedgafa-1-2453546.shtml,,,非敏感,,,,,其他,安能物流,老友网,广西
2021/3/18 23:30,我要投诉@安能物流货品丢失，快递态度恶劣 分享自@黑猫投诉 http://t.cn/A6tBdhxY,,http://weibo.com/3312991667/K6OxAxSNk,,我的伴娘是情敌i,敏感,http://wx3.sinaimg.cn/thumbnail/c5783db3ly1gooh8o02yuj20sg0sgjs0.jpg,0,0,原创,政务,安能物流,新浪微博,海外
2021/3/18 23:27,的确是，都是骗子的网站，没有一个是真的,,https://www.toutiao.com/i1694558648136716/,破衣乞丐：这两天在58同城上找工作，看见一知名物流企业（安能物流）招聘搬运工的招聘信息；便投了简历，招聘人员一再热情邀约过去面谈；今天应邀前往几十公里外该公司的物流分拣中心进行面谈了解相关具体待遇； 骑了两个多小时的车到达后，该名联系人提示我先（里面立的一张招聘广告）扫码，然后要求我先在手机上填,,非敏感,,,,评论,,安能物流,今日头条,
2021/3/18 23:26,【罗戈网】顺丰，到底有多优秀？！,营收规模及业务增速在零担快运主流玩家中均排名第一。顺丰快运所在的零担行业是万亿级的大市场，目前还处于规模化以及行业加速整合期，集中度当前仍较低，但随着双循环发展格局的推进，产业结构及消费不断升级，未来具备很大的市场发展和整合潜力，龙头公司将呈现集中度加速提升的路径。顺丰的快运业务采用的是“双品牌”策略，顺丰快运定位高时效、高质量及高服务体验的中高端市场，“顺心捷达”专注全网,http://www.logclub.com/articleInfo/MzMxOTk=?uid=226433&stamp=1616135953720,,,非敏感,,,,,其他,顺心捷达,罗戈网,广东
2021/3/18 23:18,顺丰控股:2021年3月18日投资者关系活动记录表,使得公司在电商件市场份额有所提升。整个市场规模很大，客户也越加关注履约率和履约成本，顺丰通过数字化能力、以及不同价格带的产品分层来满足客户需求。电商流量也趋于分散化，很多新渠道崛起，顺丰以独立第三方的身份，更有利于帮助客户在不同渠道的运营，促进客户增值。所以我们在起步阶段，还有很大潜力。 3、快运业务：收入同比增长 46.3%。顺丰快运和顺心捷达双网络，已做到零担领域货量最大且增速最快，,http://mguba.eastmoney.com/mguba/article/0/1014991095,,,非敏感,,,,,其他,顺心捷达,股吧,上海
2021/3/18 23:18,[顺丰控股吧]顺丰控股:2021年3月18日投资者关系活动记录表,使得公司在电商件市场份额有所提升。整个市场规模很大，客户也越加关注履约率和履约成本，顺丰通过数字化能力、以及不同价格带的产品分层来满足客户需求。电商流量也趋于分散化，很多新渠道崛起，顺丰以独立第三方的身份，更有利于帮助客户在不同渠道的运营，促进客户增值。所以我们在起步阶段，还有很大潜力。3、快运业务：收入同比增长 46.3%。顺丰快运和顺心捷达双网络，,"http://guba.eastmoney.com/news,gssz,1014991095.html",,,非敏感,,,,,金融,顺心捷达,股吧,上海
